dates,campaign_id,campaign_name,campaign_start_date,creative_name,ad_id,total_spent,impressions,clicks,click_through_rate,leads,platform,ad_set_name,ad_set_id,is_total_spent_outlier,is_impressions_outlier,is_clicks_outlier,is_leads_outlier,cpl,cpc,day_of_week,month,conversion_rate,campaign_duration_days,platform_month
2024-10-29,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Drive_Innovation_Static_240924,120212341302630229,242.88,4741.0,11.0,0.0037966674000000002,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,242.88,22.08,Tuesday,October,0.09090909090909091,38,facebook_october
2024-10-29,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,1.2_Cr_Static_200924,120212409341690229,2588.47,32568.0,93.0,0.0042372881,13.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,True,True,False,True,199.1130769230769,27.83301075268817,Tuesday,October,0.13978494623655913,33,facebook_october
2024-10-29,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Transform_Ideas_Static_240924,120212409252830229,67.3,936.0,3.0,0.0074786324999999996,2.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,33.65,22.433333333333334,Tuesday,October,0.6666666666666666,33,facebook_october
2024-10-29,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Regula_VS_Tech_Static_240924,120212409196250229,490.15,3389.0,15.0,0.0097373857,4.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,122.5375,32.67666666666666,Tuesday,October,0.26666666666666666,33,facebook_october
2024-10-29,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,India's_First_Tech_MBA_Static_200924,120212409290100229,2525.6,35390.0,183.0,0.0066402939,14.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,True,True,True,True,180.4,13.801092896174863,Tuesday,October,0.07650273224043716,33,facebook_october
2024-09-24,340811576,mbatech_c2_leadgen-1_240924,2024-09-24,Next_Gen_Leadership_Static-3_240924,524459346,425.93,2975.0,13.0,0.0044,0.0,linkedin,,,False,False,False,False,0.0,32.76384615384615,Tuesday,September,0.0,0,linkedin_september
2024-10-29,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Drive_Innovation_Static_240924,120212409232300229,376.37,2569.0,7.0,0.0046710782000000005,1.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,376.37,53.76714285714286,Tuesday,October,0.14285714285714285,33,facebook_october
2024-10-28,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,1.2_Cr_Static_200924,120212285781150229,6987.26,78848.0,263.0,0.0049842735,52.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,True,True,True,True,134.3703846153846,26.56752851711027,Monday,October,0.19771863117870722,37,facebook_october
2024-10-28,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Any_Function_Any_Field_Static_200924,120212285633300229,48.52,596.0,2.0,0.008389261700000001,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,48.52,24.26,Monday,October,0.5,37,facebook_october
2024-10-28,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,India's_First_Tech_MBA_Static_200924,120212285739390229,733.63,5426.0,41.0,0.0099520826,7.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,104.80428571428571,17.893414634146342,Monday,October,0.17073170731707318,37,facebook_october
